"","all_trips_v2$member_casual","all_trips_v2$day_of_week","all_trips_v2$ride_length"
"1","casual","Sunday",52.8518972877588
"2","member","Sunday",14.5839756733008
"3","casual","Monday",44.453886838259
"4","member","Monday",13.0304031157186
"5","casual","Tuesday",54.7874017248562
"6","member","Tuesday",13.1732215131228
"7","casual","Wednesday",56.0294413763
"8","member","Wednesday",13.14614391208
"9","casual","Thursday",51.3148687021662
"10","member","Thursday",13.002432723893
"11","casual","Friday",51.5356557128719
"12","member","Friday",12.9450395353493
"13","casual","Saturday",53.1436963850726
"14","member","Saturday",15.261094746639
